"Name";"DisplayName";"Description";"UUID";"Type";"Using";"UsingRoot";"EquipmentSlot";"Rarity";"ArmorClass";"ArmorType";"ProficiencyGroup";"DefaultBoosts";"Boosts";"BoostsOnEquipMainHand";"BoostsOnEquipOffHand";"PassivesOnEquip";"PassivesMainHand";"PassivesOffHand";"Damage";"WeaponProperties"
"ARM_Splint_Body";"Splint Armour";"Combining sturdy metal plates with flexible cloth, this armour promises protection and mobility.";"8ed82f7e-fdd4-4a9f-94b6-f256c599bfdd";"Armor";"_Body";"_Body";"Breast";;"17";"Splint";"HeavyArmor";;"Disadvantage(Skill,Stealth)";;;;;;;
"ARM_Plate_Body";"Plate Armour";;"95b4e2c4-759a-4d33-a2d1-4e0ee6ed4f29";"Armor";"_Body";"_Body";"Breast";;"18";"Plate";"HeavyArmor";;"Disadvantage(Skill,Stealth)";;;;;;;
"ARM_Robe_Body";"Simple Robe";"Crafted with care, this robe will protect you from the elements. It won't do much against a sword's thrust, though.";"168b9099-19f5-44e4-b55c-e64ceb60b71f";"Armor";"_Body";"_Body";"Breast";;"10";;;;;;;;;;;
"ARM_Robe_Body_1";;"Artfully crafted, this robe is comfortable and elegant.";"7ec40cde-4d96-4352-b93e-cdcab6383337";"Armor";"ARM_Robe_Body";"ARM_Robe_Body";"Breast";"Uncommon";"10";;;;"AC(1)";;;;;;;
"ARM_Robe_Body_2";"Robe";;"467cca20-42bb-45cd-8eac-6ed49bbc2707";"Armor";"ARM_Robe_Body";"ARM_Robe_Body";"Breast";"Rare";"10";;;;"AC(2)";;;;;;;
"ARM_Cloth_Body_1";"Cloth Armour";;"427d12a3-dff2-4b59-978e-8e55daaed4ce";"Armor";"ARM_Robe_Body_1";"ARM_Robe_Body_1";"Breast";;;;;;;;;"ARM_MartialArtsLethality_1_Passive";;;;
"ARM_Cloth_Body_2";"Simple Cloth";;"0f2e59b9-c244-4e3c-836e-4f1e7b755b12";"Armor";"ARM_Robe_Body_2";"ARM_Robe_Body_2";"Breast";;;;;;;;;"ARM_MartialArtsLethality_2_Passive";;;;
"ARM_Padded_Body_1";"Padded Armour +1";"The quilting threads running through this padded vest seem to gleam in the rising sun.";"f5faa6c5-a43c-4edd-a77f-6e7536a7e683";"Armor";"ARM_Padded_Body";"ARM_Padded_Body";"Breast";"Uncommon";"12";;;;;;;"ARM_SuperiorPadding_1_Passive";;;;
"ARM_Padded_Body_2";"Padded Armour +2";;"96613037-cbac-4f43-a39b-584e6f2629c7";"Armor";"ARM_Padded_Body";"ARM_Padded_Body";"Breast";"Rare";"13";;;;;;;"ARM_SuperiorPadding_2_Passive";;;;
"ARM_Leather_Body_1";"Leather Armour +1";"This well-tailored leather tunic is reinforced by geometric quilting.";"90a79e46-e327-41f4-a349-8e4dd70b1892";"Armor";"ARM_Leather_Body";"ARM_Leather_Body";"Breast";"Uncommon";"12";;;;;;;"ARM_Stealthy_1_Passive";;;;
"ARM_Leather_Body_2";"Leather Armour +2";"This armour is stitched together with thick, metal-lined cord, reinforcing it at the seams.";"ac71c753-c207-465c-b28b-c10f95ed0745";"Armor";"ARM_Leather_Body";"ARM_Leather_Body";"Breast";"Rare";"13";;;;;;;"ARM_Stealthy_1_Passive;ARM_Balance_1_Passive";;;;
"ARM_StuddedLeather_Body_1";"Studded Leather Armour +1";"This armour is strong enough to stop a dagger and light enough to escape whatever weapon follows it.";"58d7927f-c6eb-4635-85b6-70265c621b3d";"Armor";"ARM_StuddedLeather_Body";"ARM_StuddedLeather_Body";"Breast";"Uncommon";"13";;;;;;;"ARM_SuperiorPadding_1_Passive";;;;
"ARM_StuddedLeather_Body_2";"Studded Leather Armour +2";"Superbly shaped, elegantly designed, and tough as ring mail with none of the weight.";"83603f36-d158-4a0e-b9c9-358413ba3a92";"Armor";"ARM_StuddedLeather_Body";"ARM_StuddedLeather_Body";"Breast";"Rare";"14";;;;;;;"ARM_SuperiorPadding_1_Passive;ARM_Ambusher_1_Passive";;;;
"ARM_Hide_Body_1";"Hide Armour +1";"Tight stitches bind panels of hard leather into a formfitting carapace that moves like a second skin.";"94ed8ec8-93a4-4a8c-bc47-55cb3faae7c0";"Armor";"ARM_Hide_Body";"ARM_Hide_Body";"Breast";"Uncommon";"13";;;;;;;"ARM_Balance_1_Passive";;;;
"ARM_Hide_Body_2";"Hide Armour +2";"This hide armour, soft to the touch but hard as a zaratan's hide, is stitched together of narrow panels allowing for the wearer's ease of movement and comfort.";"fd4ab5b0-67e6-4a8b-8745-2003f2f5ada3";"Armor";"ARM_Hide_Body";"ARM_Hide_Body";"Breast";"Rare";"14";;;;;;;"ARM_Balance_1_Passive;ARM_Ambusher_1_Passive";;;;
"ARM_ChainShirt_Body_1";"Chain Shirt +1";"The intricate embroidery on the linen panel of this armour indicates the nobility of its previous owner.";"eac652ed-ecf7-4505-bf64-0fec29e7d677";"Armor";"ARM_ChainShirt_Body";"ARM_ChainShirt_Body";"Breast";"Uncommon";"14";;;;;;;"ARM_SuperiorMaterial_1_Passive";;;;
"ARM_ChainShirt_Body_2";"Chain Shirt +2";"This mail's impossibly fine, close joining indicates the work of gnomish fingers.";"461f1cbe-6d0d-40ee-8bf6-8a68e0570d6f";"Armor";"ARM_ChainShirt_Body";"ARM_ChainShirt_Body";"Breast";"Rare";"15";;;;;;;"ARM_SuperiorMaterial_1_Passive;ARM_Balance_1_Passive";;;;
"ARM_ScaleMail_Body_1";"Scale Mail +1";"The work of a skilled craftsman, this scale shirt offers better protection than most.";"dc748177-8590-4a99-a446-feccbd8d8eb4";"Armor";"ARM_ScaleMail_Body";"ARM_ScaleMail_Body";"Breast";"Uncommon";"15";;;;;;;"ARM_SuperiorMaterial_1_Passive";;;;
"ARM_ScaleMail_Body_2";"Scale Mail +2";"Crafted by an artist's hands, this exquisite scale shirt feels like it could turn aside any blade.";"21f0dd84-6f02-4be9-8654-4cebd00dcbaf";"Armor";"ARM_ScaleMail_Body";"ARM_ScaleMail_Body";"Breast";"Rare";"16";;;;;;;"ARM_SuperiorMaterial_1_Passive;ARM_Ambusher_1_Passive";;;;
"ARM_Breastplate_Body_1";"Breastplate +1";"This breastplate is crafted in the specialty style of a mysterious armourer in Amn known only as 'The Tailor.'";"ad912cef-8bfb-4bf3-98f0-f2c5e3b45915";"Armor";"ARM_Breastplate_Body";"ARM_Breastplate_Body";"Breast";"Uncommon";"15";;;;;;;"ARM_SuperiorPlate_1_Passive";;;;
"ARM_Breastplate_Body_2";"Breastplate +2";"This garment's previous owner left a few minor personal effects in its inner breast pocket: a scrap of sassafrass, a short bit of thread, and half a peppermint.";"4842e9ec-95ba-4168-81a9-f184b08d6c2c";"Armor";"ARM_Breastplate_Body";"ARM_Breastplate_Body";"Breast";"Rare";"16";;;;;;;"ARM_SuperiorPlate_1_Passive;ARM_Balance_1_Passive";;;;
"ARM_HalfPlate_Body_1";"Half Plate Armour +1";"Heraldic runes are sewn into the padding of this armour, offering a gift of protection to whoever dons it.";"c3407c8d-0180-4f5a-9530-e1167e7290b3";"Armor";"ARM_HalfPlate_Body";"ARM_HalfPlate_Body";"Breast";"Uncommon";"16";;;;;;;"ARM_SuperiorPlate_1_Passive";;;;
"ARM_HalfPlate_Body_2";"Half Plate Armour +2";"This breastplate is far tougher than it appears, taking blows from common weapons without suffering so much as a scratch.";"15338da1-c4f8-4b43-912c-c14e7d9a8579";"Armor";"ARM_HalfPlate_Body";"ARM_HalfPlate_Body";"Breast";"Rare";"17";;;;;;;"ARM_SuperiorPlate_2_Passive";;;;
"ARM_RingMail_Body_1";"Ring Mail Armour +1";;"4837915c-080b-491f-813e-be5a71571a17";"Armor";"ARM_RingMail_Body";"ARM_RingMail_Body";"Breast";"Uncommon";"15";;;;;;;"ARM_BodyAid_1_Passive";;;;
"ARM_RingMail_Body_2";"Ring Mail Armour +2";;"339c2d50-af1b-45d4-af96-cf2d27e1e11d";"Armor";"ARM_RingMail_Body";"ARM_RingMail_Body";"Breast";"Rare";"16";;;;;;;"ARM_SuperiorMaterial_1_Passive;ARM_BodyAid_1_Passive";;;;
"ARM_ChainMail_Body_1";"Chain Mail +1";"Fine fabric obscures the bulk of this chain mail, allowing its wearer to mix in polite society while protecting them from unexpected assailants.";"ed7a8055-cf36-42c8-ad77-15a80d19744f";"Armor";"ARM_ChainMail_Body";"ARM_ChainMail_Body";"Breast";"Uncommon";"17";;;;;;;"ARM_SuperiorMaterial_1_Passive";;;;
"ARM_ChainMail_Body_2";"Chain Mail +2";"Made from thick, strong chains loosely-fitted, this armour hangs more heavily than some but protects its wearer with an impenetrable weave of metal.";"d8120501-e5bb-4eb1-b5cf-120b8bfd2ab2";"Armor";"ARM_ChainMail_Body";"ARM_ChainMail_Body";"Breast";"Rare";"18";;;;;;;"ARM_SuperiorMaterial_2_Passive";;;;
"ARM_Splint_Body_1";"Splint Armour +1";"Skilled hands crafted this armour, reinforcing the metal plates while sacrificing none of the flexibility.";"ecfb1364-b1a0-4d0e-b82a-0becd8c291fd";"Armor";"ARM_Splint_Body";"ARM_Splint_Body";"Breast";"Uncommon";"18";;;;;;;"ARM_SuperiorPlate_1_Passive";;;;
"ARM_Splint_Body_2";"Splint Armour +2";"Wrought of an artisan's skill and passion, this armour will turn aside all but the fiercest of blades.";"2e8dfe32-cd6e-475b-98b5-5e2d9c42a7df";"Armor";"ARM_Splint_Body";"ARM_Splint_Body";"Breast";"Rare";"19";;;;;;;"ARM_SuperiorPlate_1_Passive;ARM_BodyAid_1_Passive";;;;
"ARM_Plate_Body_1";"Plate Armour +1";;"dd905194-9a67-4c61-b26d-5b4da4725cde";"Armor";"ARM_Plate_Body";"ARM_Plate_Body";"Breast";"Uncommon";"19";;;;;;;"ARM_SuperiorPlate_1_Passive";;;;
"ARM_Plate_Body_2";"Plate Armour +2";;"fdb8ce53-51dc-4ccb-9e29-d1d99040e60b";"Armor";"ARM_Plate_Body";"ARM_Plate_Body";"Breast";"Rare";"20";;;;;;;"ARM_ExceptionalPlate_2_Passive";;;;
"UNI_RobeOfSummer";"Robe of Summer";"This robe's thin fabric is pleasantly warm to the touch.";"ffed890a-69fe-4798-8c71-1bd3b72369bc";"Armor";"_Armor_Magic_Robe";"_Armor_Magic_Robe";"Breast";"Uncommon";;;;;"Resistance(Cold, Resistant)";;;;;;;
"ARM_StuddedLeather_Body_Drow";"Drow Studded Leather Armour";"Tracings of glossy black spider-web mark this drow-made armour. It is supple, but strong - and made to blend in with the dark caves and crevices of the Underdark.";"cab3455f-59fe-42be-8dcd-7cd61149389a";"Armor";"ARM_StuddedLeather_Body";"ARM_StuddedLeather_Body";"Breast";"Rare";;;;;"Skill(Stealth,1)";;;;;;;
"ARM_HalfPlate_Body_Githyanki";"Githyanki Half Plate";"This armour was forged to Vlaakith's standards under the exacting eye of a githyanki smith.";"38c63f49-3c50-46d0-90d3-68b247542c36";"Armor";"ARM_HalfPlate_Body";"ARM_HalfPlate_Body";"Breast";;;;;;;;;;;;;
"_Foot";;;"00000000-0000-0000-0000-000000000000";"Armor";"_Body";"_Body";"Breast";;;;;;;;;;;;;
"ARM_Boots_Metal";"Metallic Boots";"Scratched in places, scorched in others, and worn thin at the heel, these boots bear the indelible marks of experience.";"689e8d3e-b79b-417b-8cd2-9d08b2f5e618";"Armor";"_Foot";"_Foot";"Boots";;;"Plate";"MediumArmor";;"Skill(Athletics,1)";;;;;;;
"ARM_Boots_Metal_Githyanki";"Githyanki Boots";"Lavishly decorated boots, crafted on far-away planes from stolen metals and poached rubies.";"319c625a-cfb7-4e44-ac3f-370a00c0d4ef";"Armor";"ARM_Boots_Metal";"ARM_Boots_Metal";"Boots";;;;;;;;;;;;;
"ARM_ChainShirt_Body_Shar";;"While the stitching on the shirt is rushed and uneven, the chain mail is sturdy, and the garment is decorated with an obsidian disk that seems to swallow all light.";"0c0c1031-4a04-4e8f-ba8a-8aafa2a396e8";"Armor";"ARM_ChainShirt_Body";"ARM_ChainShirt_Body";"Breast";;;;;;;;;;;;;
"UNI_Astarion_StarterArmor";;"Despite the careful stitches, the gold embroidery on this padded doublet is slowly unravelling.";"397dbd19-efed-4507-85f9-66daebad5258";"Armor";"ARM_Padded_Body";"ARM_Padded_Body";"Breast";;;;;;;;;;;;;
"ARM_Leather_Body_Druid";"Druid Leather Armour";;"b8468a39-a5ff-4de0-85be-a8883a479628";"Armor";"ARM_Leather_Body";"ARM_Leather_Body";"Breast";;;;;;;;;;;;;
"ARM_Leather_Body_Rogue";;;"4c4396db-fa4a-4541-9b2a-23e43211dde7";"Armor";"ARM_Leather_Body";"ARM_Leather_Body";"Breast";;;;;;;;;;;;;
"UNI_Daisy_Plate";"Elegant Robe";"A draped robe made with lightweight fabric. Made for seduction rather than battle.";"aa0917ea-5f66-4a22-97de-654228484128";"Armor";"ARM_HalfPlate_Body";"ARM_HalfPlate_Body";"Breast";;;;;;;;;;;;;
"ARM_Gloves_Metal";"Metallic Gloves";"Made from steel hammered thin, these gauntlets are a fine investment for any warrior.";"1dcdf52e-b596-4e3a-8d1c-8fff17ed8c2c";"Armor";"_Hand";"_Hand";"Gloves";;;;"MediumArmor";;"RollBonus(SavingThrow, 1, Strength)";;;;;;;
"UNI_Daisy_Gloves";;;"5a0ee632-9145-48b2-9b92-97c32c2ccbd9";"Armor";"ARM_Gloves_Metal";"ARM_Gloves_Metal";"Gloves";;;;;;;;;;;;;
"UNI_Daisy_Boots";"Dreamsome Boots";;"216f0362-f77b-420c-84cb-d84853aa173d";"Armor";"ARM_Boots_Metal";"ARM_Boots_Metal";"Boots";;;;;;;;;;;;;
"UNI_GaleRobe";;;"9410a467-3e49-4b14-b067-ea8ad6a0d431";"Armor";"ARM_Robe_Body";"ARM_Robe_Body";"Breast";;;;;;;;;;;;;
"ARM_Robe_Body_Sorcerer";"Sorcerer Robe";"Neat leather bands keep the trailing cloth secure. Singed sleeves are a liability for any spellcaster.";"4ba55c6f-1302-4069-9e04-ff0bf2a7ede2";"Armor";"ARM_Robe_Body";"ARM_Robe_Body";"Breast";;;;;;;;;;;;;
"ARM_Robe_Body_Sorcerer_DraconicAncestry";;;"5ebd4ed6-17e6-4787-86d6-bbcaad8c6565";"Armor";"ARM_Robe_Body_Sorcerer";"ARM_Robe_Body_Sorcerer";"Breast";;;;;;;;;;;;;
"ARM_Robe_Body_Sorcerer_StormSorcery";;;"a81be340-0706-4201-bb4c-da52920574cf";"Armor";"ARM_Robe_Body_Sorcerer";"ARM_Robe_Body_Sorcerer";"Breast";;;;;;;;;;;;;
"ARM_Barbarian";"Barbarian Clothes";"A rough combination of furs, leathers, and supple fabrics, made for a life outside civilisation.";"f6599c3f-cfcd-4721-9cc2-1df5d8ff0154";"Armor";"ARM_Robe_Body";"ARM_Robe_Body";"Breast";;;;;;;;;;;;;
"ARM_Bard";"Simple Jerkin";;"da345d08-2186-4e4a-857c-3fd6a104cec6";"Armor";"ARM_Leather_Body";"ARM_Leather_Body";"Breast";;;;;;;;;;;;;
"ARM_ScaleMail_Body_Paladin_Devotion";"Scale Mail of Devotion";"Embroidered on the tabard are the tenets of devotion: Honesty, Courage, Compassion, Honour, and Duty.";"a455f1a1-acc6-4fce-a09e-111aceced98a";"Armor";"ARM_ScaleMail_Body";"ARM_ScaleMail_Body";"Breast";;;;;;;;;;;;;
"ARM_ScaleMail_Body_Paladin_Ancients";"Scale Mail of the Ancients";"Four embroidered sentences decorate the tabard - the tenets of the ancients: 'Kindle the Light. Shelter the Light. Preserve your own Light. Be the Light.'";"e4daf34d-053c-471a-9171-92fa9b4db4af";"Armor";"ARM_ScaleMail_Body_Paladin_Devotion";"ARM_ScaleMail_Body_Paladin_Devotion";"Breast";;;;;;;;;;;;;
"ARM_Padded_Body_Destroyed";"Damaged Padded Armour";"Scorching fire, jagged metallic edges, and destructive poison have turned this padded armour into a rag.";"e8609f47-b67c-4020-850d-58f7897593e0";"Armor";"ARM_Padded_Body";"ARM_Padded_Body";"Breast";;"10";;;;;;;;;;;
"ARM_Leather_Body_Destroyed";"Damaged Leather Armour";"Scorch marks, acid burns, and jagged tears indicate this leather armour has been to the Hells and back.";"91d8e57d-4c73-47ca-87dc-252ab0a3aa95";"Armor";"ARM_Leather_Body";"ARM_Leather_Body";"Breast";;"10";;;;;;;;;;;
"ARM_ChainShirt_Body_Destroyed";"Damaged Chain Shirt";"Your crash landing aboard the nautiloid has done serious damage to this garment.";"82f4d3d6-c2c8-47ee-8fcb-7b093deff6e9";"Armor";"ARM_ChainShirt_Body";"ARM_ChainShirt_Body";"Breast";;"11";;;;;;;;;;;
"ARM_ScaleMail_Body_Destroyed";"Damaged Scale Mail";"With many broken and missing scales, this armour offers little in the way of protection.";"ddf6982a-72d4-44db-a152-4dd2b816e836";"Armor";"ARM_ScaleMail_Body";"ARM_ScaleMail_Body";"Breast";;"12";;;;;;;;;;;
"ARM_HalfPlate_Body_Githyanki_Destroyed";"Damaged Githyanki Half Plate";"Scorched, stained, and dented, this suit of githyanki armour has survived the unthinkable - and still endured.";"c3aaffa5-096d-4d4c-87b6-a9298d306cb6";"Armor";"ARM_HalfPlate_Body_Githyanki";"ARM_HalfPlate_Body_Githyanki";"Breast";;"13";;;;;;;;;;;
"ARM_Robe_Destroyed";"Damaged Robe";"Tattered and stained, this robe has seen better days.";"14c13bc9-ab35-4cab-a220-23a61cd43845";"Armor";"ARM_Robe_Body";"ARM_Robe_Body";"Breast";;;;;;;;;;;;;
"ARM_Gloves_Leather";"Leather Gloves";"These supple gloves provide both flexibility and protection.";"8e34fd76-8b6d-48a5-89e3-942289bec31e";"Armor";"_Hand";"_Hand";"Gloves";;;;;;;;;;;;;
"ARM_Gloves_Metal_Githyanki";"Githyanki Bracers";"Forged from an amalgamation of metals, these bracers shine a million different shades of silver.";"30b19abd-fc49-4826-811f-9c4c556ae6f0";"Armor";"ARM_Gloves_Metal";"ARM_Gloves_Metal";"Gloves";;;;;;;;;;;;;
"ARM_Shoes";"Simple Boots";"Made of tough, well-worn leather, these boots have survived years of use, and can survive many more.";"97f37571-35e8-4cc8-8b0d-ff92d20ae0bb";"Armor";"_Foot";"_Foot";"Boots";;;"Cloth";;;;;;;;;;
"ARM_Boots_Leather";"Leather Boots";"These boots are well-maintained and clean, though their soles are thin from wear.";"969bab00-b269-46a5-a7e9-dd4887814719";"Armor";"_Foot";"_Foot";"Boots";;;"Leather";;;;;;;;;;
"ARM_Shoes_Barbarian";"Leather Boots";"Warm, supple boots, made to cross the roughest of terrains with ease.";"2577a332-8ad2-4e54-b52b-f4f7cc5823a1";"Armor";"ARM_Shoes";"ARM_Shoes";"Boots";;;;;;;;;;;;;
"ARM_BootsOfSpeed";"Boots of Speed";"Featherlaced and flexible of sole, these boots have been used to round up - and outrun - many a foe.";"8b22d15a-85bb-4c8d-90cf-a773fc451eac";"Armor";"_Foot_Magic";"_Foot_Magic";"Boots";"Rare";;;;;"UnlockSpell(Shout_BootsOfSpeed)";;;;;;;
"ARM_Boots_Leather_Druid";"Grovetender Boots";;"7de51e0b-cb9d-4279-9bc5-b0d85dce4cf6";"Armor";"ARM_Boots_Leather";"ARM_Boots_Leather";"Boots";;;;;;;;;;;;;
"ARM_Boots_Leather_A";"Appreciably-Cared-For Boots";;"cf987856-1381-477e-88db-6b359f7e19e8";"Armor";"ARM_Boots_Leather";"ARM_Boots_Leather";"Boots";;;;;;;;;;;;;
"ARM_Boots_Leather_B";"Smarmy Swaggerer Boots";;"2a5964b5-ee7c-4acf-9f40-f45a313b4755";"Armor";"ARM_Boots_Leather";"ARM_Boots_Leather";"Boots";;;;;;;;;;;;;
"ARM_Boots_Leather_C";"Plain Boots";;"c1f9f7af-cdb2-49f6-8459-521f2b9263cb";"Armor";"ARM_Boots_Leather";"ARM_Boots_Leather";"Boots";;;;;;;;;;;;;
"ARM_Boots_Leather_D";"Firm-Soled Boots";;"38f78b0a-4f55-406f-8b28-7c0ec8220905";"Armor";"ARM_Boots_Leather";"ARM_Boots_Leather";"Boots";;;;;;;;;;;;;
"ARM_Boots_Leather_E";"Tidy Slender Boots";;"39eb6810-3cb9-4ddb-966a-ddd68b93e62c";"Armor";"ARM_Boots_Leather";"ARM_Boots_Leather";"Boots";;;;;;;;;;;;;
"ARM_Boots_Leather_F";"Heavy Boots";;"d7219371-2f32-4675-b805-a0c9af19c1ff";"Armor";"ARM_Boots_Leather";"ARM_Boots_Leather";"Boots";;;;;;;;;;;;;
"ARM_Shoes_A";"Hardily Constructed Boots";;"9c16f3c5-f25a-49ee-b24c-7e974334939f";"Armor";"ARM_Shoes";"ARM_Shoes";"Boots";;;;;;;;;;;;;
"ARM_Shoes_B";"Tough Shoes";;"f649e46c-f1d1-4eb7-af73-368423951707";"Armor";"ARM_Shoes";"ARM_Shoes";"Boots";;;;;;;;;;;;;
"ARM_Shoes_C";"Thin-Soled Shoes";;"10e07ff1-5586-44fb-b437-31db1f7748ec";"Armor";"ARM_Shoes";"ARM_Shoes";"Boots";;;;;;;;;;;;;
"ARM_Shoes_D";"Cleverly Cobbled Boots";;"85d78eab-e4ad-4f56-bfb3-87c6368f5b17";"Armor";"ARM_Shoes";"ARM_Shoes";"Boots";;;;;;;;;;;;;
"ARM_Shoes_E";"Soft and Comfortable Shoes";;"2134b8b6-fb84-4521-a154-b734c3cf6fd9";"Armor";"ARM_Shoes";"ARM_Shoes";"Boots";;;;;;;;;;;;;
"ARM_Shoes_F";"Tough-Soled Shoes";;"524ca019-25b5-4769-a9e4-842505710e77";"Armor";"ARM_Shoes";"ARM_Shoes";"Boots";;;;;;;;;;;;;
"ARM_Shoes_G";"Humbly Cobbled Shoes";;"6c194c79-51c7-4cbd-a5b1-ef0d06b7c559";"Armor";"ARM_Shoes";"ARM_Shoes";"Boots";;;;;;;;;;;;;
"ARM_Shoes_H";"Quite Fashionable Boots";;"127d5d89-d6ab-4e4a-b6fe-a3586e6d7020";"Armor";"ARM_Shoes";"ARM_Shoes";"Boots";;;;;;;;;;;;;
"ARM_Hat";"Hat";;"4d2e0931-3a01-4759-834b-8ae36749daab";"Armor";"_Head";"_Head";"Helmet";;;"Cloth";;;;;;;;;;
"ARM_Hat_Rich";"Hat";;"4d2e0931-3a01-4759-834b-8ae36749daab";"Armor";"ARM_Hat";"ARM_Hat";"Helmet";;;;;;;;;;;;;
"ARM_Hat_Wizard_A";"Wizard Hat";"This wizardly hat has a little embroidered rabbit inside its lining - the rabbit is called snowball, and once he was lost, never to be found. ";"07ad0e9f-7fb4-418f-a1ef-06b431c252be";"Armor";"ARM_Hat_Rich";"ARM_Hat_Rich";"Helmet";;;;;;;;;;;;;
"ARM_Hat_Wizard_B";"Old Floppy Hat";"Whacked around more often than a clown in a tragedy. ";"65f78de8-f6aa-4080-84de-73e654b02883";"Armor";"ARM_Hat_Wizard_A";"ARM_Hat_Wizard_A";"Helmet";;;;;;;;;;;;;
"ARM_Hat_Wizard_C";"Bycocket";"This wizardly hat has a little embroidered rabbit inside its lining - the rabbit is called snowball, and once he was lost, never to be found. ";"a05f4468-4e26-4856-b996-ba8ab8e55a14";"Armor";"ARM_Hat_Wizard_A";"ARM_Hat_Wizard_A";"Helmet";;;;;;;;;;;;;
"ARM_Hat_Wizard_D";"Brimmed Hat";"This wizardly hat has a little embroidered rabbit inside its lining - the rabbit is called snowball, and once he was lost, never to be found. ";"b8bd447c-eef3-441e-9fb8-303b5b926432";"Armor";"ARM_Hat_Wizard_A";"ARM_Hat_Wizard_A";"Helmet";;;;;;;;;;;;;
"ARM_Hat_Wizard_E";"Embroidered Hat";"Silvery wings spread over the stiff unyeilding leather.";"e24d6a8b-5489-4c5c-b133-b435fda3918a";"Armor";"ARM_Hat_Wizard_A";"ARM_Hat_Wizard_A";"Helmet";;;;;;;;;;;;;
"ARM_Hat_Wizard_F";"Embroidered Bycocket";"Tapered to a precise point, such as the wizardly mind when focusing on a nice big dinner, instead of all these complicated spells.";"694320b7-726b-4804-9dd6-fbc8a307a05f";"Armor";"ARM_Hat_Wizard_A";"ARM_Hat_Wizard_A";"Helmet";;;;;;;;;;;;;
"ARM_Hat_Wizard_G";"Wide-Brimmed Hat";"Very wide brimmed, really. Almost a kind of grinning sombrero.";"ff47e1c4-f49f-460c-b6a6-dce635fa48c4";"Armor";"ARM_Hat_Wizard_A";"ARM_Hat_Wizard_A";"Helmet";;;;;;;;;;;;;
"ARM_Hat_Wizard_H";"Snakeskin Hat";"As classic a design as one can hope for. It even has the frumpy wrinkles.";"4a4e2cf1-a02f-41c4-b68f-5f5301f74577";"Armor";"ARM_Hat_Wizard_A";"ARM_Hat_Wizard_A";"Helmet";;;;;;;;;;;;;
