"UUID";"Name";"Stats";"DisplayName";"Description"
"028706a5-df59-4df7-8ac5-e5e6ed843dfe";"DEC_GEN_StuffedHead_Ettercap_Poor_A";"OBJ_Generic_Medium";"Stuffed Ettercap Head";"The creature's mandibles seem to twitch - its eyes threatening even in death. "
"028fdf79-07b7-4a34-af59-eb40dea1fc1d";"CINE_DEN_FaithwardenStaff";"DEN_FaithwardenStaff";"Pale Oak";"Infused with Silvanus' strength, these staves are gifted to Faithwardens who act in defence of nature. "
"029e2f4c-b5d6-4140-8a8b-a180afe0ac3b";"LTS_DUN_Hanging_Bowls_C_Gold";"OBJ_CoalBasket";"Brazier";
"029ea937-6abf-407b-bdd8-5b58aa2a0853";"BOOK_GEN_Races_FablesofFaerun5";"BOOK_GEN_Races_FablesofFaerun5";"Fables of Faerûn V: The Boy and the Beholder";"One of a series of thin tomes illustrating simple lessons to readers of all ages. "
"02a42dd9-84b8-49f5-ae01-66a6716715fe";"PUZ_GEN_Lever_Wall_Stone_A";"OBJ_Lever_Action";"Lever";
"02aadf45-f65c-48db-a6ff-e8adeddb873d";"SurfacePotionResistanceLightningCloud";;"Potion of Lightning Resistance";"Gain resistance to Lightning damage until your next Long Rest."
"02ae5d88-8044-43df-8363-02a2900776db";"ARM_Leather";"ARM_Leather_Body";"Leather Armour";"Dark, messy stains line the armholes of the well-used leather breastplate."
"02b5afde-8195-43f0-b27c-d441e64bade1";"VFX_Static_Waterplane_WLD_Underdark_C_Beach_A";;"Field";
"02b5e1ea-389d-4008-a247-66538709388b";"MEPHIT_Mud_A_Summon";"Mephit_Mud_Summon";"Young Mud Mephit";
"02bb51c0-00e5-408c-8e11-8de7b9580c04";"LOOT_Dye_BlackBlue_01";"OBJ_Dye_BlackBlue";"Black and Azure Dye";"The scales of a lightning-breathing dragon are this blue. "
"02c5c8a8-444b-4b0f-bc25-582a073fd2e8";"BASE_Halflings_Male_Civilian";"Halfling_Commoner";"Civilian";
"02db01c0-c96e-4e1a-af48-3c8039e66b4c";"CINE_S_WYR_SharessCaress_NymphRoom_FlamingFist";"Human_Commoner";"Human";
"02dd94ad-54f3-494c-9746-e6e844b42327";"VFX_Environment_Menu_Fire_01";;"Field";
"02e52682-45ad-41d5-acfc-e1c5e6780e4c";"LTS_DUN_Candles_Cluster_A_Gold";"OBJ_Candle_Gold";"Candles";
"02e81f69-d1ee-42cf-a719-ab539c1126aa";"FUR_GEN_Bedroom_Bed_Wood_Single_A_Old_Destruct";"OBJ_GenericImmutableObject";"Broken Barricade";
"02ec34d0-0a88-47a7-8909-099ac252edcc";"SurfacePotionHillGiantStrengthCloud";;"Potion of Hill Giant Strength";"<LSTag Tooltip=""Strength"">Strength</LSTag> increased to 21 for 1 minute."
"02f17205-410e-432d-b016-0e0a99c029af";"DEC_GEN_Statue_Bust_Female_A_Dynamic_A";"OBJ_GenericImmutableObject";"Bust";
"02f46b6f-201d-4f88-a115-802b8ddb4d1f";"DEC_GEN_Dressing_Panel_Wood_Rich_A_Destroyed";;"Field";
"02f48623-264e-4c39-9cab-48f269c991d9";"DEC_CEM_Coffin_Wood_Common_Lid_A_Destroyed";;"Field";
"02f542b1-bf7d-4aca-b233-085ff36223d2";"CONT_GEN_Chest_Heavy_A_Small_A_Destruct";"OBJ_GenericImmutableObject";"Broken Chest";
"02f7446a-8150-4401-aab3-384b7c95a0e0";"BOOK_Wizards_Tome_Ornate_H";"OBJ_Book";"Silver Bound Tome";"This book is redolent with the enticing smell of paper and ink."
"02f7abab-4867-47a2-ba60-a651b3b0fa3a";"DEC_Underdark_WizardTower_Machinery_Pipes_Attachment_A_E_On";"UND_ArcanePowerGenerator";"Arcane Machinery Pipes";
"02fa83e7-f9f6-4b53-8491-30087d97d1c7";"DEEP_ROTHE_PlayerWildshape_8";"Deep_Rothe_WildShape_8";"Deep Rothé";
"0302a8c3-53a0-4d8c-9fab-974cf1921f68";"Wolf_White_NPC_Wildshape_Moon";"Wolf_Wildshape";"Wolf";
"0302cee8-5abd-4ab8-af67-65142724946c";"FUR_GEN_House_Chair_Rich_A";"OBJ_Chair";"Lavish Chair";
"0304af1b-73d5-4322-bb7a-259c5fe7edfd";"BOOK_GEN_Books_Row_Single_C";"OBJ_Bookrow";"Row of Books";"Books on various unrelated subjects, organised in no obvious order."
"03057be5-c7d9-49f9-8539-6a7ecf674f63";"CONS_GEN_Food_Tart_Treacle_A_Eaten_A";"CONS_GEN_FOOD_Tart_Treacle";"Treacle Tart";"Sugary sweet breadcrumbs stick to whatever it touches."
"032c0c5e-158f-4c51-8fbe-f7658f43c853";"LOOT_GEN_Amulet_Necklace_C_Bronze_A";"ARM_Amulet_Necklace_C_Bronze_A";"Burnished Necklace";"Bright and polished, this necklace was clearly cherished by its previous owner."
"0332afb3-e027-4389-8bcd-04ef0a90b5e9";"FUR_GEN_Bookcase_Wood_Poor_A_1D_3H_6W_B";"OBJ_Chest";"Bookshelf";
"033d098b-b1c7-45ca-bca3-209fdf8cb5e4";"VFX_Static_Waterplane_WLD_UnderdarkShrine_A_A";;"Field";
"0343045a-9efc-4405-a0f9-b37b936f4b65";"DEC_GEN_Kitchen_Pot_Drum_Lid_A";"OBJ_Kitchenware_Pot_Drum";"Bronze Lid";"The lid to a keg. Useless alone."
"03442493-5e40-4473-859c-aea31913534d";"CONT_GEN_Vase_Ceramic_Big_C_Destruct";"OBJ_GenericImmutableObject";"Broken Vase";
"035f5d5c-2299-4beb-b4b5-beda3fee9a4c";"PUZ_GEN_Pressure_Plate_Marble_Square_A_Black_Destruct";"";"Destroyed Object";
"0362a7c4-9b52-4277-b79b-a929f9d1a3aa";"Tieflings_Male_Mephistopheles_Guard_Caster";"Tiefling_Caster";"Tiefling Guard";
"036553d0-5e9f-4c27-95d2-e0a3f39fdfe4";"DOOR_Double_Slim_City_House_B_Frameless_Top_A";"OBJ_Door";"Double Doors";
"0371fa33-7dae-4980-8468-6d8e99824af6";"LOOT_GEM_Sapphire_A";"OBJ_Sapphire";"Sapphire";"It is said kissing a sapphire will help you keep any secret - no matter how grave the sin."
"03771ebc-83ca-45d2-8bd5-d382b6d6d824";"LOOT_SCROLL_ProtectionFromEvilAndGood";"OBJ_Scroll_ProtectionFromEvilAndGood";"Scroll of Protection from Evil and Good";"This book is redolent with the enticing smell of paper and ink."
"0377d0b6-85f5-4118-9e87-55ec35bc4434";"DEC_GEN_StuffedHead_HookHorror_Rich_A";"OBJ_Generic_Medium";"Stuffed Hook Horror Head";"This creature's mottled flesh is brightened by paint - like a strange watercolour. "
"03855492-12d7-42bf-866f-8aeb8eae176f";"ARM_Camp_Shoes_Sandals_A_1_Black";"ARM_Camp_Shoes";"Worn Slashstrip Sandals";"Slashes of leather gird the feet. A bright silvery button gleams - this pair have seen better days."
"0395e0ff-0a32-4099-9729-54a7b8c7c57c";"DEC_GEN_Market_Stall_A_Box_A_Destruct";"OBJ_GenericImmutableObject";"Broken Box";
"03a92eb8-2b94-48b3-ab3b-3f38e88af5e1";"Cine_Test_Humans_Male_Plate";"Human_Commoner";"Civilian";
"03a94ad3-a856-44a0-a897-8912078a9115";"CONS_FOOD_Fish_Rotten_B";"CONS_FOOD_Fish_Rotten_B";"Rotten Fish";"A rancid smell radiates from this fish, invading your nostrils and throat, even from a distance."
"03aa01e4-d743-4e5e-b263-3658f5adb053";"REF_ITM_Primitives_Cube_2x2x2";"REF_Primitives";"Cube 2x2x2";
"03b41875-2b13-497c-81b7-0f22648f0d85";"FUR_GEN_Bookcase_Wood_Poor_A_1D_3H_2W_A_Brown_Destruct";"OBJ_GenericImmutableObject";"Broken Barricade";
"03c88f77-14f6-407a-81aa-64c23c6d5d16";"Helper_PortraitGeneration_Background_D";;"Field";
"03d94b9b-3926-4570-a95f-cfb2da22678d";"DEC_GEN_Corpse_Body_Part_HeadMale_A_Githyanki";"OBJ_BodyPart_Generic_Head";"Severed Head";"Bloody foam leaks out of the head's slack mouth."
"03dabfe5-0169-4683-a79d-8466aa1512b6";"LTS_DUN_Bowls_A_Gold_Destroyed";;"Destroyed Object";
"03e0d189-53bf-415d-9b83-1e766c2786a5";"FUR_Dungeon_SharTemple_Bench_Big_A_Gold_A";"OBJ_GenericImmutableObjectHeavy";"Granite Bench";
"03e1028e-eea0-4eaf-9f40-6876493c29cd";"DEC_GEN_Statue_Lion_Stone_A";;"Winged Lion Statue";
"03e30687-2fc3-4b3a-84be-49d1d06991a0";"DEC_GTY_Eggs_Fetus_B_Shell_B";"";"Githyanki Egg";"A large egg with a soft, almost see-through shell, protected with iron bands. A githyanki child stirs within."
"03ee5c1e-520d-4cc5-bfa8-8eb718c5ec3c";"LTS_Alchemy_Miscellaneous_Candlestick_C_Destruct";"OBJ_GenericImmutableObject";"Destroyed Object";
"03f340c1-a26e-427e-968a-94c795015965";"Quasit_Summon";"Chain_Quasit";"Conjured Quasit";
"04004b82-1b8d-497a-bf7e-81f1391504aa";"FUR_GEN_Bedroom_Bed_Wood_Single_G_Old_Destruct";"OBJ_GenericImmutableObject";"Broken Barricade";
"0402786b-de54-4e4b-b551-1f2acb5f61a8";"UNI_DEC_GEN_Crate_Stack_B";"OBJ_Crate_Stack";"Wooden Crates";
"0416d50f-a41a-4ba3-b201-d8fc6fed91f9";"PUZ_GEN_Key_Gold_A";"PUZ_Key";"Gold Key";"An elaborately gilded key."
"041882e7-cebb-4923-b284-7f2fed66ffe4";"ARM_Camp_Shoes_Sandals_B_2";"ARM_Camp_Shoes";"Cross-Crest Sandals";"Patterned as many  knightly shields are in the modern era."
"042a3930-5d18-490c-9c8e-1cca36a8f1ad";"BASE_DOOR_METAL";"OBJ_MetalDoor";"Door";
"042be340-dc9c-4d35-9b14-c42118e24a7f";"DEC_HAR_Fish_Rack_Big_Fish_A";"OBJ_GenericImmutableObject";"Drying Rack";
"0439c127-9f25-4c5a-b18c-c482f7128258";"CONT_GEN_Vase_Ceramic_Big_A_Destroyed";;"Field";
"043caa07-dbf0-493d-bb8a-25197e3cefd0";"LOW_JaheirasHouse_LeaveLetter";"OBJ_Scroll";"Parchment";"A plain, unadorned note."
"045f416c-7c67-413d-a06f-2c2fdbb282a8";"Hyena_A";"Hyena";"Hyena";
"04622e3d-5b3f-4f2c-a0db-513a717d911f";"WPN_HUM_HeavyCrossbow_A_0";"WPN_HeavyCrossbow";"Heavy Crossbow";"A standard-issue crossbow, used by many guardsmen."
"046598e3-8cb4-497c-bfd2-866ff88b50db";"UND_MushroomHunter_RingOfExploration";"UND_MushroomHunger_RingOfExploration";"Explorer's Ring";"A radiant and remarkably preserved ring, forged from arandur metal."
"0469f558-e4f0-4eb5-b4b2-bf00b8e0aa15";"ARM_Camp_Rich_B";"ARM_Vanity_Body_Rich_B";"Delicately Constructed Outfit";"Capably crafted, giving the impression of affirming wealth,"
"046ad0f4-b19c-44b7-8093-f0c48cab7da9";"BASE_Elves_Female_High_Harper";"Elf_Commoner";"Elf";
"04713dce-8944-4b6c-9dc1-55e731f18810";"DEC_GEN_WaterPump_A";"OBJ_WaterPump";"Water Pump";
"0487c10f-02cb-4f9b-821e-4077340f10d7";"CONT_BagRottenFood_CombatThrowable";"OBJ_THR_BagRottenFood";"Bag of Rotten Food";"Drips unpleasantly when squeezed."
"049173ec-636a-487e-a9ed-bfafeadf6bb7";"WPN_HUM_Longbow_A_1";"WPN_Longbow_1";"Longbow +1";"Carved enchantments span the length of this supple bow."
"04a44672-c84b-49fe-a3e8-796eb40c8a15";"Elves_Female_Wood_Player_Strong";"HeroElfFemale";"Elf";
"04ae8618-3f49-453a-91f2-e5ac68cf366f";"WPN_HUM_Flail_A_0_Rusty_A";"WPN_Flail_Rusty";"Rusty Flail";"A pitiful excuse for a flail, pitted with rust. "
"04ba10a0-ca33-47e6-9810-0b7234700c4a";"ARR_Arrow_Of_Slaying_Fiend";"OBJ_ArrowOfFiendSlaying";"Arrow of Fiend Slaying";"Swift and true as a solar's shining blade."
"04bbc48d-4771-4c2b-8e86-1fd1eef86137";"Tieflings_Male_Mephistopheles_Harper_Melee";"Tiefling_Melee";"Tiefling";
"04d34ef8-61c3-4fe2-a564-4cd58f46e67b";"PUZ_CONST_GTY_Mine_A";"OBJ_Mine";"Repulsion Mine";
"04d4c048-84c3-4c5b-9e52-0a186e4ed095";"DOOR_Double_Slim_City_House_H_Destruct";"OBJ_GenericImmutableObject";"Destroyed Object";
"04e5ff98-d32b-45ce-bfe7-be7f59cbcbd8";"Child_Goblins_Female";"Goblin_Child";"Goblin Girl";
"04ef0c26-9fb7-f170-8519-9b8f91687fbf";"BASE_BLD_Construction_Big_converted";;"Structure";
"05039c98-02bc-45f1-bfba-342e73fad0cb";"FUR_GEN_Tavern_Bottle_Rack_B_Bottles_C_Destruct";"OBJ_GenericImmutableObject";"Broken Barricade";
"05047890-4138-40b5-9d8d-3ccb9d10e434";"BASE_Gnomes_Female";"Gnome_Commoner";"Gnome";
"05055942-aba3-4e0c-bf73-7a4bb82d57a2";"VFX_Environment_Dust_S_Orange_01";;"Field";
"05257244-ab59-4eab-9745-d1fea7b8cd10";"CONS_Potion_Lightning_Resistance";"OBJ_Potion_Of_Lightning_Resistance";"Elixir of Lightning Resistance";"This potion causes a tingling sensation in the extremities when consumed."
"052b7bba-fbbe-4d56-ab5b-b47cdfb82388";"FUR_GEN_Mirror_Wood_A_Painted";"OBJ_Mirror";"Painted Mirror";
"0543e2ab-6f7a-4a04-a746-7728af6f2573";"DOOR_Double_Medium_City_House_C_Destruct";"OBJ_GenericImmutableObject";"Destroyed Object";
"05447998-ac54-4394-8d56-39739d7ed948";"Elves_Male_Drow_Lolth_Civilian";"Elf_Drow_Commoner";"Civilian";
"0549a4e5-10f7-42b4-a8a3-74400f2fae07";"BASE_Elves_Male_Strong";"Elf_Commoner";"Elf";
"054d189d-4c0e-4013-8f38-c62db5be2dd2";"LTS_DUN_Chandelier_C";"OBJ_Chandelier";"Chandelier";"Hammered from iron and surprisingly ornate. The candles still have life left in them."
"054d7155-afdb-4d84-b21c-ee7f14bee6e5";"DEC_CEM_Tomb_A_Lid_A_Statue_Woman_Broken_A";"OBJ_ Sarcophagus_Lid";"Broken Sarcophagus";
"055e841a-41fd-4fa8-a8ff-ee8b153d176b";"LTS_DUN_Candles_D_Gold_Purple";"OBJ_Candle_Gold_Purple";"Candle";"The stub of a wick pokes out of this tallow candle."
"055f12f5-eb99-4893-9913-c22f36d233a8";"BASE_HalfElves_Female_High";"HalfElf_Commoner";"Half-Elf";
"056945af-e9c2-4d8d-8497-752802e51ce1";"FUR_Dungeon_Bench_Stone_C_Shar";"OBJ_GenericImmutableObjectHeavy";"Granite Pew";
"056c36f8-eaa6-4d85-926a-41ca66dde1b8";"Dwarves_Male_Hill_Guard_Melee";"Dwarf_Melee";"Dwarf Guard";
"056f10e1-01e7-4622-907f-faad8d48bbe6";"LOOT_SCROLL_GlyphOfWarding";"OBJ_Scroll_GlyphOfWarding";"Scroll of Glyph of Warding";"This book is redolent with the enticing smell of paper and ink."
"057e0716-98c1-4288-8249-750f3d1c8ffb";"CONT_HUM_Vase_Large_B_Porcelain_Rigged";"OBJ_Vase";"Vase";"Lovely, delicate, and quite old, judging by its dated design."
"05835354-5b81-4296-89b6-d458235abecc";"CINE_BASE_Quadruped_Beast_Wolf";"Wolf";"Wolf";
"05916397-ed55-46e0-bec3-ab6c4b2b1cb4";"ARM_Camp_Rich_D_Purple";"ARM_Vanity_Body_Rich_D";"Anarchic Purple Outfit";"There is something of the purple-peacock rebel in this outfit, of the bandit princess or prince stealing plunder and hearts."
"0594b5d7-db02-4ad5-8fae-ea01baff271b";"TOOL_Ladder_Cursed_Roots_15H_A";"OBJ_Ladder_Indestructible";"Roots";
"05a88104-6e07-4c9c-915e-dee8d37304a9";"FUR_GEN_Bed_Double_Rich_B_Dirty_A";"OBJ_Bed";"Bed";
"05a9cbf9-cc11-4f48-b3ad-ef04f6723fc0";"LOOT_BODYPART_HeadElfFemale";"OBJ_BodyPart_Generic_Head";"Magron's Head";"The head of this elf is ice cold, mouth frozen mid-scream, eyes wide with abject terror."
"05ab9dd0-89b0-4f11-bbf9-a40abe90fbc3";"FUR_GEN_Closet_Wood_Rich_A_Colorvar_A";"OBJ_Wardrobe";"Mahogany Wardrobe";
"05b61de5-bc19-485a-8c2b-6923284e40aa";"LOOT_GEN_Dining_Glass_Silver_Rich_E";"Cup_Silver_E";"Silver Glass";"Silver cups are the favoured vessel when making offers of milk to Selûne - some folk even believing the metal to be the Moonmaiden's hardened tears."
"05bc96c3-ea5f-4e49-aced-72cfbff03944";"SurfaceRockSpikes";;"Stone Spikes";
"05bd357e-3c33-486f-8fb2-656a7a33ab82";"Helper_PortraitGeneration_Background_Custom_07";;"Field";
"05dbf4ed-3641-4686-ba8e-0f600809483a";"LOOT_Alchemy_Spider_Leg_A_DONOTUSE";"OBJ_GenericLootItem";"Spider Leg";"Judging by the bloodied leg, this spider did not die without a fight."
